"snap_time","shipment_id","route_type","region_route","latest_awb_station_name","latest_soc_station","latest_status_name","latest_status_timestamp","latest_operator_name","latest_operator_type","latest_station_inbound_operator_name","latest_station_inbound_operator_type","action_flag","day_in_soc","is_passed_sorting_center","intentional_backlog_type","backlog_reason","destination_type","order_type","station_before_arrive_at_soc","is_high_value"
"2026-09-03T13:00","TH264811909321A","FWD","NORTH","APHIT-B - เมืองพิษณุโลก","SOCN","SOC_Packed","2026-09-03T00:34:41.234","CBS005TH2621/600/-","cbs","CBS005TH2621/CBS-E-IND07/NCCBS-E-7","cbs","_03_pending_linehual_packed","< 1 day","false","Backlog","","UPC","MP","[SVP] GBKK","false"
"2026-09-03T13:00","TH269903385648D","FWD","SOUTH","HLAUN-AG - ละอุ่น","SOCN","SOC_Packed","2026-09-02T22:50:42.267","CBS001TH2621/209/-","cbs","CBS001TH2621/CBS-A-IND18/ops40959","cbs","_03_pending_linehual_packed","< 1 day","false","Backlog","","UPC","MP","APAPD-A - พระประแดง","false"
"2026-09-03T13:00","TH068878131549","FWD","CENTRAL","SOCN","SOCN","SOC_Packed","2026-09-03T08:21:11.550","CBS001TH2621/271/-","cbs","CBS001TH2621/CBS-A-IND03/Ops23118","cbs","_03_pending_linehual_packed","< 1 day","false","Backlog","","4PL","NS","FSOCW1","false"
"2026-09-03T13:00","TH2604615242267","FWD","NORTH","AMRIM-B - แม่ริม","SOCN","SOC_Packed","2026-09-03T03:27:37.456","thspxobd59n@shopeemobile-external.com","manual","CBS004TH2621/CBS-D-IND24/Ops53893","cbs","_03_pending_linehual_packed","< 1 day","false","Backlog","","UPC","MP","[SVP] GBKK","false"
"2026-09-03T13:00","TH2659038307452","FWD","NORTHEAST","AKUMM-AG - คำม่วง","SOCN","SOC_Packed","2026-09-02T23:22:48.050","CBS005TH2621/163/-","cbs","CBS005TH2621/CBS-E-IND17/NCCBS-E-17","cbs","_03_pending_linehual_packed","< 1 day","false","Backlog","","UPC","MP","ABKTH-B - บางขุนเทียน","false"
"2026-09-03T13:00","TH268285577035A","FWD","NORTHEAST","AYASO - เมืองยโสธร","SOCN","SOC_Packed","2026-09-03T03:48:06.476","CBS004TH2621/555/-","cbs","CBS004TH2621/CBS-D-IND22/OPS46568","cbs","_03_pending_linehual_packed","< 1 day","false","Backlog","","UPC","MP","ABPLI-D - บางพลี","false"
"2026-09-03T13:00","TH2693574901429","FWD","NORTH","AMJUN - แม่จัน","SOCN","SOC_Packed","2026-09-02T18:35:13.690","CBS003TH2621/649/-","cbs","CBS003TH2621/CBS-C-IND06/CBS-C-6","cbs","_03_pending_linehual_packed","< 1 day","false","Backlog","","UPC","MP","FBPLI-G - บางพลี","false"
"2026-09-03T13:00","TH262736680283O","FWD","NORTH","AMJUN - แม่จัน","SOCN","SOC_Packed","2026-09-02T18:35:13.690","CBS003TH2621/649/-","cbs","CBS003TH2621/CBS-C-IND06/CBS-C-6","cbs","_03_pending_linehual_packed","< 1 day","false","Backlog","","UPC","MP","ATLCH-A - ตลิ่งชัน","false"
"2026-09-03T13:00","TH262817331723E","FWD","NORTH","ACKOG - เชียงของ","SOCN","SOC_Packed","2026-09-03T03:25:32.953","thspxobd59n@shopeemobile-external.com","manual","CBS001TH2621/CBS-A-IND04/ops48538","cbs","_03_pending_linehual_packed","< 1 day","false","Backlog","","UPC","MP","AMBRI-B - มีนบุรี","false"
"2026-09-03T13:00","TH269044358996Q","FWD","NORTH","ACKOG - เชียงของ","SOCN","SOC_Packed","2026-09-03T03:25:32.953","thspxobd59n@shopeemobile-external.com","manual","CBS001TH2621/CBS-A-IND23/ops58314","cbs","_03_pending_linehual_packed","< 1 day","false","Backlog","","UPC","WH","WH-SOCN-WN1","false"
